genus,family
Colobosaura,Gymnophthalmidae
Colobosauroides,Gymnophthalmidae
Coloptychon,Anguidae
Colopus,Gekkonidae
Coluber,Colubridae
Colubroelaps,Colubridae
Complicitus,Agamidae
Compsophis,Pseudoxyrhophiidae
Concinnia,Scincidae
Congolacerta,Lacertidae
Coniophanes,Colubridae
Conolophus,Iguanidae
Conophis,Colubridae
Conopsis,Colubridae
Contia,Colubridae
Contomastix,Teiidae
Copeoglossum,Scincidae
Cophosaurus,Phrynosomatidae
Cophoscincopus,Scincidae
Cophotis,Agamidae
Corallus,Boidae
Cordylosaurus,Gerrhosauridae
Cordylus,Cordylidae
Coronelaps,Colubridae
Coronella,Colubridae
Correlophus,Diplodactylidae
Corucia,Scincidae
Coryphophylax,Agamidae
Corytophanes,Corytophanidae
Crenadactylus,Diplodactylidae
Cricosaura,Xantusiidae
Crisantophis,Colubridae
Crocodilurus,Teiidae
Crossobamon,Gekkonidae
Crotalus,Viperidae
Crotaphopeltis,Colubridae
Crotaphytus,Crotaphytidae
Cryophis,Colubridae
Cryptactites,Gekkonidae
Cryptagama,Agamidae
Cryptoblepharus,Scincidae
Cryptophis,Elapidae
Ctenoblepharys,Liolaemidae
Ctenophorus,Agamidae
Ctenosaura,Iguanidae
Ctenotus,Scincidae
Cubophis,Colubridae
Cyclocorus,Cyclocoridae
Cyclodomorphus,Scincidae
Cyclophiops,Colubridae
Cyclotyphlops,Typhlopidae
Cyclura,Iguanidae
Cylindrophis,Cylindrophiidae
Cynisca,Amphisbaenidae
Cyrtodactylus,Gekkonidae
Cyrtopodion,Gekkonidae
Daboia,Viperidae
Dactylocnemis,Diplodactylidae
Dalmatolacerta,Lacertidae
Dalophia,Amphisbaenidae
Darevskia,Lacertidae
Dasia,Scincidae
Dasypeltis,Colubridae
Deinagkistrodon,Viperidae
Delma,Pygopodidae
Demansia,Elapidae
Dendragama,Agamidae
Dendrelaphis,Colubridae
Dendroaspis,Elapidae
Dendrolycus,Lamprophiidae
Dendrophidion,Colubridae
Denisonia,Elapidae
Diadophis,Colubridae
Diaphorolepis,Colubridae
Dibamus,Dibamidae
Dicrodon,Teiidae
Dierogekko,Diplodactylidae
Dieurostus,Homalopsidae
Dinarolacerta,Lacertidae
Diplodactylus,Diplodactylidae
Diploglossus,Diploglossidae
Diplolaemus,Leiosauridae
Diplometopon,Trogonophidae
Diporiphora,Agamidae
Dipsadoboa,Colubridae
Dipsas,Colubridae
Dipsina,Psammophiidae
Dipsosaurus,Iguanidae
Dispholidus,Colubridae
Ditaxodon,Colubridae
Ditypophis,Pseudoxyrhophiidae
Dixonius,Gekkonidae
Djokoiskandarus,Homalopsidae
Dolichophis,Colubridae
Dopasia,Anguidae
Dracaena,Teiidae
Draco,Agamidae
Drepanoides,Colubridae
Dromicodryas,Pseudoxyrhophiidae
Dryadosaura,Gymnophthalmidae
Drymarchon,Colubridae
Drymobius,Colubridae
Drymoluber,Colubridae
Dryocalamus,Colubridae
Dryophiops,Colubridae
Drysdalia,Elapidae
Duberria,Pseudoxyrhophiidae
Ebenavia,Gekkonidae
Echinanthera,Colubridae
Echinosaura,Gymnophthalmidae
Echiopsis,Elapidae
Echis,Viperidae
Ecpleopus,Gymnophthalmidae
Egernia,Scincidae
Eirenis,Colubridae
Elachistodon,Colubridae
Elaphe,Colubridae
Elapognathus,Elapidae
Elapoidis,Colubridae
Elapomorphus,Colubridae
Elapotinus,Pseudoxyrhophiidae
Elapsoidea,Elapidae
Elasmodactylus,Gekkonidae
Elgaria,Anguidae
Emmochliophis,Colubridae
Emoia,Scincidae
Emydocephalus,Elapidae
Enhydris,Homalopsidae
Enuliophis,Colubridae
Enulius,Colubridae
Enyalioides,Hoplocercidae
Enyalius,Leiosauridae
Epacrophis,Leptotyphlopidae
Ephalophis,Elapidae
Epicrates,Boidae
Epictia,Leptotyphlopidae
Eremias,Lacertidae
Eremiascincus,Scincidae
Eristicophis,Viperidae
Eroticoscincus,Scincidae
Erpeton,Homalopsidae
Erythrolamprus,Colubridae
Eryx,Boidae
Etheridgeum,Colubridae
Eublepharis,Eublepharidae
Eugongylus,Scincidae
Eulamprus,Scincidae
Euleptes,Sphaerodactylidae
Eumeces,Scincidae
Eumecia,Scincidae
Eunectes,Boidae
Euprepiophis,Colubridae
Eurolophosaurus,Tropiduridae
Eurydactylodes,Diplodactylidae
Eurylepis,Scincidae
Euspondylus,Gymnophthalmidae
Eutrachelophis,Colubridae
Eutropis,Scincidae
Exila,Scincidae
Exiliboa,Boidae
Farancia,Colubridae
Ferania,Homalopsidae
Feylinia,Scincidae
Ficimia,Colubridae
Fimbrios,Xenodermidae
Fojia,Scincidae
Fordonia,Homalopsidae
Furcifer,Chamaeleonidae
Furina,Elapidae
Gallotia,Lacertidae
Gambelia,Crotaphytidae
Garthia,Phyllodactylidae
Garthius,Viperidae
Gastropholis,Lacertidae
Geagras,Colubridae
Geckolepis,Gekkonidae
Gehyra,Gekkonidae
Gekko,Gekkonidae
Geocalamus,Amphisbaenidae
Geomyersia,Scincidae
Geophis,Colubridae
Geoscincus,Scincidae
Gerarda,Homalopsidae
Gerrhonotus,Anguidae
Gerrhopilus,Gerrhopilidae
Gerrhosaurus,Gerrhosauridae
Glaphyromorphus,Scincidae
